State_Code,NIC_2digit,A_formal,w_for_mean,Q_out_mean,L_formal_total,N_firms,Year,w_inf_mean,N_informal,State_Name,E_s,ln_w_inf,ln_A_formal,ln_Q_out
18,14,921097.3657932456,116671.94784620414,0,88.6,2,2021-22,24.301471125209368,37,Assam,0.164521693,3.1905368886460956,13.733321027123411,0
20,13,567031.166833041,105524.3624381891,0,1138.35,3,2021-22,41.17686012341359,50,Jharkhand,0.09673679,3.717876451082486,13.248169549158714,0
20,14,191971.65892268234,106251.22935483287,0,16003.956666666667,10,2021-22,22.98085663163523,47,Jharkhand,0.09673679,3.1346615489945515,12.165103030336827,0
21,13,767743.6982978652,94604.96851824272,0,7134.073333333333,15,2021-22,26.53089840355233,56,Odisha,0.349385246,3.2783100312608826,13.551211230256182,0
21,14,519550.4498367038,115200.98924942325,0,966.2666666666667,2,2021-22,28.07780631335921,42,Odisha,0.349385246,3.334979453362252,13.160719197100269,0
22,13,1555951.068114967,176438.4033118698,0,2565.4866666666667,11,2021-22,44.21956555610877,30,Chhatisgarh,0.206974128,3.789167350779247,14.257597535999114,0
23,13,2164389.8029383114,145552.97557228318,1.0208976266610259e-5,195861.31,74,2021-22,85.30951716494765,56,Madhya Pradesh,0.148540355,4.446286021133724,14.587649033474747,1.020892415533559e-5
23,14,791846.6571133308,129755.06533322642,0,34831.608,14,2021-22,31.31381824961551,29,Madhya Pradesh,0.148540355,3.4440594777470324,13.582123037294911,0
24,13,6277789.940243509,404118.32324694196,6.1121518349728395e-6,842291.0634298559,421,2021-22,30.93810709990706,98,Gujarat,0.477071243,3.4319886635677115,15.463515594472238,6.112133155756651e-6
24,14,2137701.9792823177,177690.40960015808,1.2764412463330623e-6,117552.87380443994,85,2021-22,31.10954431101659,31,Gujarat,0.477071243,3.4375146631332414,14.575241968560341,1.2764404316058204e-6
27,13,3547764.1818926423,225213.99539959535,5.3447294447049545e-6,485404.6739187383,269,2021-22,38.405103643750714,7,Maharashtra,0.122546488,3.648190358151618,15.081828155121714,5.344715161785051e-6
27,14,3705174.645543932,237330.22072498448,0,118586.9227820024,119,2021-22,189.4597483416238,24,Maharashtra,0.122546488,4.546541779781984,15.125240953400006,0
28,13,1214815.1889492075,132330.42524602707,0,234145.42333427133,130,2021-22,27.892847460478,21,Andhra Pradesh,0.155661116,3.3283702925368726,14.010102515326478,0
28,14,488960.66448287334,116361.04405088897,1.0368511522023424e-4,68780.66,20,2021-22,22.88845203276819,12,Andhra Pradesh,0.155661116,3.130632505324202,13.10003732449116,1.0367974029026894e-4
29,13,923419.8105475429,192163.1838399419,0,95504.80198280081,71,2021-22,16.48926839010251,20,Karnataka,0.403184386,2.802709768704461,13.735839242742527,0
29,14,837024.9279297271,148559.4005384561,2.74506403816581e-5,1043105.6133345437,152,2021-22,9.833555378003929,5,Karnataka,0.403184386,2.2858005552366807,13.637609131500916,2.7450263619742755e-5
30,13,2006774.8743232854,257973.25275797307,5.138465204465786e-8,4619.536666666667,8,2021-22,15.555555555555554,1,Goa,0.196787149,2.7444178452730847,14.512039451244414,5.138465076867936e-8
30,14,349881.30841121497,174348.06408544726,0,4.993333333333333,1,2021-22,62.65356826415283,15,Goa,0.196787149,4.137620635253338,12.765349257126704,0
32,13,982960.6320653675,153951.3066652708,3.893839093228063e-6,81152.44091442313,92,2021-22,45.35161676940862,83,Kerala,0.24396477,3.8144458268497816,13.798324349563716,3.893831512189115e-6
32,14,499247.12226883875,132647.71680905495,0,33824.97,26,2021-22,45.16935362626044,181,Kerala,0.24396477,3.810418839762498,13.120856487152963,0
33,13,1989192.7122241317,123498.04754325798,6.56435153291434e-7,1480462.272486729,851,2021-22,9.751243781094526,1,Tamil Nadu,0.31293779,2.2807571285939643,14.503239442144247,6.564349378921082e-7
33,14,1155095.9967742986,134762.16325902235,4.893133938758677e-6,1476965.9779445734,873,2021-22,23.426910707421236,36,Tamil Nadu,0.31293779,3.153885391817127,13.959694012574548,4.89312196735846e-6
34,13,2329055.1469205837,250977.43417701503,0,5995.663333333334,9,2021-22,14.029257825624374,19,Puducherry,0.163536418,2.641144993614976,14.660973226954798,0
34,14,889665.5984519381,109075.81574393073,0,105.22666666666667,2,2021-22,75.3944558921608,62,Puducherry,0.163536418,4.322733743028813,13.698600939026866,0
01,13,762226.4399916291,189658.03292560313,0,46811.21,15,2022-23,59.066642163103516,190,Jammu and Kashmir,0.653626732,4.078666334656908,13.543998955867254,0
01,14,433997.7787120876,167955.45380907733,0,1769.78,8,2022-23,32.17012300153125,80,Jammu and Kashmir,0.653626732,3.47103816472921,12.98079469489453,0
03,13,1692880.7120954643,135930.62241905814,2.1041502517900207e-5,448343.37893584435,143,2022-23,37.898479724983034,28,Punjab,0.094777288,3.6349109984865593,14.341942199149996,2.1041281148606773e-5
03,14,1548375.373786399,137959.62397312955,1.7073918128377957e-6,379447.93268831266,193,2022-23,24.189383532699075,60,Punjab,0.094777288,3.185913839911055,14.252716793262074,1.7073903552301257e-6
